"participant","Group","timepoint","n_correct_bio","n_correct_dots","n_errors_bio","n_errors_dots","dprime_bio","dprime_dots","meta_d_bio","meta_d_dots","M_ratio_bio","M_ratio_dots"
1190,"LowType1",1,20,96,18,24,NA,1.66036360545418,NA,0.782050544459638,NA,0.471011615703124
1190,"LowType1",2,30,94,8,26,1.52234450880436,1.52563733729888,2.55989240285429,0.000777213091363087,1.68154605481832,0.000509435022571701
1191,"LowType2",1,18,93,20,27,NA,1.61037221875343,NA,1.15164750864973,NA,0.715143676249711
1191,"LowType2",2,18,94,20,26,NA,1.54073607927283,NA,1.72188296229664,NA,1.11757164997999
1192,"NoFB",1,20,91,18,29,NA,1.37793260347474,NA,1.28461310213851,NA,0.932275714283189
1194,"NoFB",1,23,94,15,26,NA,1.69540642361281,NA,1.10863962590588,NA,0.653907883363708
1197,"NoFB",1,21,95,17,25,NA,1.84507277890364,NA,2.09350260687839,NA,1.13464500198326
1197,"NoFB",2,17,96,21,24,NA,2.13081593816721,NA,1.923118948925,NA,0.902527015345653
1198,"LowType2",1,20,91,18,29,NA,1.37374581936666,NA,1.38857735968917,NA,1.01079642253568
1198,"LowType2",2,27,91,11,29,1.05152231621236,1.3871501896272,5.47498702416045e-06,0.669152441413487,5.20672451715686e-06,0.482393648804044
1200,"NoFB",1,20,91,18,29,NA,1.36468822324517,NA,0.609474188259801,NA,0.446603244520202
1201,"HighType2",1,23,98,15,22,NA,1.87095037352734,NA,1.24271765724414,NA,0.664217327636127
1201,"HighType2",2,30,97,8,23,1.53234941711596,1.71764801351454,0.529389182118638,1.44018462037516,0.345475500695529,0.838463182819599
1202,"LowType2",1,19,89,19,31,NA,1.28042212300364,NA,0.728933193454888,NA,0.569291314449442
1203,"NoFB",1,27,97,11,23,1.07405439032484,1.70768969749831,1.12433388168175,1.19337801176946,1.04681279813185,0.698826029996962
1203,"NoFB",2,32,92,6,28,1.90576440673648,1.45024521439252,1.33162338404726e-06,0.525260778975853,6.98734523186734e-07,0.362187562326054
1204,"HighType2",1,21,93,17,27,NA,1.44745147449581,NA,0.684920780602984,NA,0.473190841055009
1204,"HighType2",2,25,95,13,25,0.772401554134255,1.65534407014687,0.317495628764136,0.797198681428593,0.411049961078859,0.481590924693898
1205,"LowType1",1,18,96,20,24,NA,1.83544807855157,NA,0.852726174958426,NA,0.464587467726872
1205,"LowType1",2,30,93,8,27,1.52234450880436,1.48697758326756,1.77469300023801,0.709441972193297,1.16576306478213,0.477103340478298
1206,"LowType1",1,30,93,8,27,1.61615895174411,1.48079343712112,0.000273384487347167,0.13839531087974,0.000169156930419584,0.0934602405780519
1206,"LowType1",2,27,98,11,22,1.12370771734627,1.77046326296091,1.50812096468425,1.49494468603518,1.34209362577468,0.844380517410478
1208,"NoFB",1,26,97,12,23,0.916399490006854,1.69781466242026,1.39024760110594,0.449298202819022,1.51707592187283,0.264633244584272
1208,"NoFB",2,26,97,12,23,0.907524380339759,1.71443130861038,1.28714571166477,0.944221237884212,1.41830427870476,0.550748946978542
1209,"NoFB",1,23,91,15,29,NA,1.3737730525793,NA,1.00907118777248,NA,0.734525390404128
1209,"NoFB",2,26,94,12,26,0.903924822552918,1.55127037910921,0.315201263023184,1.50532000980377,0.348702961970857,0.970378877902749
1210,"NoFB",1,25,96,13,24,0.786878552315271,1.77314015156553,0.399629464575567,0.0198122570059525,0.507866764699226,0.0111735425924792
1211,"LowType1",1,17,97,21,23,NA,1.71018136464638,NA,1.27174691755398,NA,0.74363277711013
1211,"LowType1",2,24,98,14,22,NA,1.78187608789548,NA,0.944645598263111,NA,0.530141015236812
1212,"LowType1",1,19,91,19,29,NA,1.38942470241695,NA,1.19953878007089,NA,0.863334859373274
1212,"LowType1",2,24,95,14,25,NA,1.6168842792168,NA,0.486274143667058,NA,0.30074764775535
1214,"HighType2",1,25,94,13,26,0.772401554134255,1.5418268084013,0.287830719114206,1.09540405380394,0.372643889144968,0.710458559829917
1214,"HighType2",2,21,94,17,26,NA,1.59826392837918,NA,1.29859345587422,NA,0.81250251151644
1215,"LowType1",1,29,89,9,31,1.48506473786313,1.7543819658836,1.04613495553358,1.30005062100924,0.704437273919029,0.74103054311463
1215,"LowType1",2,35,92,3,28,NA,1.41501816036302,NA,0.789909977213658,NA,0.558233102118638
1216,"NoFB",1,23,91,15,29,NA,1.42383542037527,NA,0.63607714984558,NA,0.446735023404553
1216,"NoFB",2,22,92,16,28,NA,1.42710938812609,NA,0.890443775033632,NA,0.623949209809949
1217,"HighType2",1,26,92,12,28,0.90447828636733,1.57994041150368,1.48173018620556,1.2146304108466,1.63821532096326,0.768782418629702
1217,"HighType2",2,27,90,11,30,1.05863273314833,1.30373376714772,1.52694817333462,0.50176035456017,1.44237763061939,0.384864124258981
1219,"NoFB",1,17,95,21,25,NA,1.59561352430228,NA,1.24209805325289,NA,0.778445428253704
1219,"NoFB",2,19,91,19,29,NA,1.39849040500249,NA,0.682116106866667,NA,0.487751724592956
1220,"LowType1",1,16,94,22,26,NA,1.52563733729888,NA,0.55529231208842,NA,0.36397399205735
1220,"LowType1",2,21,93,17,27,NA,1.47641060809237,NA,0.987662736384916,NA,0.668962096974531
1221,"LowType1",1,24,92,14,28,NA,1.42775759208149,NA,1.36733897546127,NA,0.957682860903484
1221,"LowType1",2,27,92,11,28,1.05152231621236,1.44585353876351,1.42894479290296,1.14058128081632,1.35892959271668,0.788863636763469
1222,"LowType1",1,20,94,18,26,NA,1.53518918978916,NA,1.14542194985715,NA,0.74611126594401
1222,"LowType1",2,17,95,21,25,NA,1.60907904126956,NA,1.09120939139266,NA,0.678157730854349
1223,"NoFB",1,20,93,18,27,NA,1.54091259401095,NA,1.55396950315453,NA,1.00847349109504
1223,"NoFB",2,24,96,14,24,NA,1.7960700788427,NA,0.992026858033944,NA,0.55233193276799
1224,"HighType2",1,19,92,19,28,NA,2.06582535327626,NA,1.51364597180865,NA,0.73270761703457
1224,"HighType2",2,23,93,15,27,NA,2.01081926159194,NA,0.923258036235077,NA,0.459145212038673
1227,"HighType2",1,27,96,11,24,1.05152231621236,1.65238729413662,0.73995793258524,1.15618651989845,0.703701596415575,0.699706735824644
1227,"HighType2",2,27,99,11,21,1.05212351338421,1.91488173629671,0.50170386851084,1.2562132697805,0.476848832032168,0.656026555566797
1228,"LowType1",1,25,95,13,25,0.786878552315271,1.73743998518088,2.15908125606993,0.865119245849627,2.74385577001325,0.497927556190991
1229,"LowType2",1,19,97,19,23,NA,1.72779083833472,NA,0.837784946979682,NA,0.48488794383651
1229,"LowType2",2,20,95,18,25,NA,1.58901995213046,NA,0.983495221988085,NA,0.618931952786042
1232,"LowType2",1,31,91,7,29,1.69000431743395,2.14494058497717,1.43642264643133,1.9853461354399,0.849952057289621,0.925594932253581
1232,"LowType2",2,31,95,7,25,1.68391906627969,1.57975529164758,1.87884788921322,1.00359318258128,1.11575902122433,0.63528395055072
1233,"LowType2",1,22,94,16,26,NA,1.54707906361132,NA,1.07101157816962,NA,0.692279795752379
1233,"LowType2",2,18,94,20,26,NA,1.5275269592323,NA,0.78329744066766,NA,0.512787964843073
1235,"LowType2",1,33,95,5,25,2.08493867144949,1.77842500622069,3.01635649312259,1.05081388487773,1.44673631624165,0.590867695405839
1235,"LowType2",2,32,97,6,23,1.86685647376894,1.70106140307199,2.53079283389161,1.88138048880919,1.35564403019278,1.10600386641632
1237,"LowType2",1,29,94,9,26,1.35317515240295,1.52994917421755,0.305525701266477,1.29244900108121,0.225784297564088,0.844765971877596
1238,"LowType2",1,22,95,16,25,NA,1.6258940620807,NA,0.477231984531844,NA,0.293519729029035
1238,"LowType2",2,25,95,13,25,0.786878552315271,1.63760334865442,1.11922812563366e-10,0.226529686783719,1.42236450890738e-10,0.138330009504349
1241,"NoFB",1,24,93,14,27,NA,1.56460347825894,NA,0.127839922139112,NA,0.0817075533293393
1241,"NoFB",2,28,95,10,25,1.21369807085955,1.65303367051464,1.75747625006781e-08,2.08220323719571,1.44803414643574e-08,1.25962542344794
1243,"NoFB",1,28,93,10,27,1.19552025208496,1.63462720852892,0.733494851650244,1.00437052335377,0.613536115654292,0.614433993337024
1243,"NoFB",2,28,92,10,28,1.2655412644678,1.57994041150368,0.646184032342751,1.18828442368217,0.510598943302327,0.752107114312774
1244,"LowType2",1,18,93,20,27,NA,1.56230365856494,NA,0.966468662854761,NA,0.618617678808047
1244,"LowType2",2,15,97,23,23,NA,1.67638313654904,NA,0.430218945393796,NA,0.256635214238335
1245,"HighType2",1,24,92,14,28,NA,1.56374260386096,NA,0.636474962291994,NA,0.407020286280174
1245,"HighType2",2,24,95,14,25,NA,1.59514146704968,NA,0.465104874985848,NA,0.291575941440535
1246,"LowType2",1,19,96,19,24,NA,1.74437926762847,NA,0.791711771305222,NA,0.453864469727145
